work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,all_kudos
52263973,“you make me think of a man”,['ranaranggongmin'],Mature,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Anal Sex, Sex, Angry Sex, Secret Identity, Identity Issues, Wall Sex",中文-普通话 國語,2023-12-15,Completed,2023-12-15,"3,070",1/1,null,5,1,74,"['CheWunYaVal', 'AlexKenmore', 'M_Moonshade', 'kanpohongchendeC']"
52263652,那年，那人，那些事,['ranaranggongmin'],General Audiences,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo","Javert/Jean Valjean, Javert & Jean Valjean","Javert (Les Misérables), Jean Valjean, Original Male Character(s)",Friendship,中文-普通话 國語,2023-12-15,Completed,2023-12-15,"2,633",1/1,null,1,1,24,['kanpohongchendeC']
52212334,WIP,['ArmandDeLaFere'],Teen And Up Audiences,Multi,Les Misérables - All Media Types,"Enjolras/Grantaire (Les Misérables), Cosette Fauchelevent/Marius Pontmercy, Javert/Jean Valjean, Combeferre/Éponine Thénardier, Courfeyrac & Feuilly (Les Misérables), Joly & Bossuet Laigle, Jean Prouvaire & Gavroche Thénardier",,"Awkward Marius Pontmercy, Autistic Marius Pontmercy, Trans Jean Prouvaire, Gavroche Thénardier Lives, Gavroche Thénardier Is A Little Shit, Enjolras Was A Charming Young Man Who Was Capable Of Being Terrible, Enjolras and Cosette Fauchelevent are Siblings, Minor Enjolras/Grantaire (Les Misérables), Demisexual Enjolras (Les Misérables), Enjolras Lives (Les Misérables), Pining Grantaire (Les Misérables), Artist Grantaire (Les Misérables), Grantaire Lives (Les Misérables), Grantaire & Éponine Thénardier Friendship, High Fantasy, Alternate Universe - Fantasy, Montparnasse Being an Asshole (Les Misérables)",English,2023-12-12,Updated,2023-12-12,18,1/40,null,1,null,34,['Patrochilles4LifeIWillDieOnThisHill']
52163599,The stomach of the ocean,['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-10,Completed,2023-12-10,"3,481",1/1,null,2,1,50,"['GoodbyeMoonmen', 'kanpohongchendeC']"
52163575,童话一则：弥额尔与红龙,['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-10,Completed,2023-12-10,"3,519",1/1,null,6,1,37,"['kanpohongchendeC', 'CheWunYaVal', 'AlexKenmore', 'Norian']"
52163476,二元培养物/two-component culture (1),['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-10,Completed,2023-12-10,"7,788",1/1,null,3,1,32,"['CheWunYaVal', 'Rien625125', 'kanpohongchendeC']"
52163386,Miserere mei Deus,['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-10,Completed,2023-12-10,"1,971",1/1,null,1,null,37,['kanpohongchendeC']
52145149,Afterlife,['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-09,Completed,2023-12-09,"3,107",1/1,1,5,1,50,"['kanpohongchendeC', 'IbaraJin', 'Dolphin_yearning_for_sky', 'AlexKenmore']"
52144579,Tower,['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-09,Completed,2023-12-09,"2,351",1/1,1,2,1,45,['kanpohongchendeC']
52144504,Flood,['SExley'],Not Rated,M/M,Les Misérables - Victor Hugo,Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean",,中文-普通话 國語,2023-12-09,Completed,2023-12-09,"9,853",1/1,null,6,1,40,"['kanpohongchendeC', 'Lokitten', 'CheWunYaVal', 'Norian', 'Hazel_Z']"
52111405,银火,['Norian'],Mature,"Gen, M/M",Les Misérables - All Media Types,Javert/Jean Valjean,"Jean Valjean, Javert (Les Misérables), Original Characters",Alternate Universe - World of Warcraft Fusion,中文-普通话 國語,2023-12-08,Completed,2023-12-08,"17,003",1/1,1,5,3,58,"['Lokitten', 'Hazel_Z', 'kanpohongchendeC']"
